Country,Average_Rank,Average_Happiness_Score,Average_Economy_Score,Average_Family_Score,Average_Health_Score,Average_Freedom_Score,Average_Trust_Score,Average_Generosity_Score
Denmark,2.2,5.083875482,1.396728603,1.447688319,0.865249105,0.625959344,0.429374014,0.318876098
Norway,2.8,5.134778381,1.519380637,1.431074712,0.873333301,0.638048517,0.343950767,0.328990447
Iceland,3.2,4.974383713,1.386522604,1.492812801,0.917744424,0.618034527,0.140145312,0.419124044
Switzerland,3.6,5.095651945,1.472163911,1.417332349,0.928318258,0.620642115,0.379763457,0.277431856
Finland,3.6,4.903018299,1.356960385,1.434429345,0.873835534,0.621536171,0.398474309,0.217782555
Netherlands,6.2,4.942643225,1.411012927,1.349645845,0.878569225,0.589650898,0.298614365,0.415149966
Canada,6.8,4.982496642,1.388128883,1.387411798,0.90055753,0.610954182,0.305846303,0.389597944
New Zealand,8.2,5.099458967,1.31750921,1.439729025,0.891617941,0.617782426,0.40001534,0.432805025
Sweden,8.6,5.023141335,1.403981454,1.368574434,0.898991032,0.61758082,0.397501746,0.33651185
Australia,10,5.054114808,1.394884987,1.40900639,0.914529359,0.605043476,0.314572746,0.41607785
Austria,12,4.729573904,1.398341453,1.363962993,0.883679684,0.576929238,0.214260073,0.292400464
Costa Rica,12.6,4.071796133,1.035655257,1.31516073,0.832247853,0.59122833,0.101081318,0.196422646
Israel,13,4.386639949,1.303722485,1.321917993,0.9026888,0.417499721,0.12087442,0.319936531
Puerto Rico,15,4.03114,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202
United States of America,15.8,4.608936914,1.455945857,1.328570113,0.821615326,0.506882105,0.140843758,0.355079756
Ireland,16.4,5.044687439,1.460415328,1.445056223,0.878932525,0.572192068,0.299791631,0.388299665
Luxembourg,17.2,5.051504011,1.63767472,1.343240733,0.903489899,0.583831578,0.337420885,0.245846196
Belgium,17.6,4.601248504,1.375398152,1.35749254,0.882870374,0.538762144,0.237844626,0.208880668
United Kingdom,17.8,4.759702444,1.337566788,1.367932016,0.881735188,0.503760007,0.244017613,0.424690832
Germany,18,4.740713392,1.395342677,1.35952607,0.870736146,0.558588277,0.265134388,0.291385834
Mexico,21.4,3.614555906,1.079360764,1.082994432,0.7715698,0.436726002,0.139488823,0.104416087
United Arab Emirates,22,4.523507724,1.645226674,1.069860046,0.752195647,0.538813054,0.311982391,0.267826389
Oman,22,4.37809,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542
Brazil,23,3.735883594,1.033226642,1.323311201,0.680944471,0.443038749,0.120392552,0.134969979
Chile,24.4,3.97854299,1.173326922,1.202872991,0.844975941,0.396821056,0.088497596,0.272048484
Czech Republic,24.4,4.010073486,1.26856247,1.324849043,0.827406801,0.473753235,0.034650585,0.080851352
Panama,27.6,4.010454963,1.148267687,1.28816251,0.776023227,0.538879367,0.072982785,0.186139388
Malta,27.6,4.774495887,1.285699968,1.386846333,0.879060847,0.59027141,0.151493214,0.481124115
France,27.8,4.366940603,1.344116692,1.31824737,0.91624117,0.488390423,0.183208486,0.116736461
Singapore,28,5.161285753,1.592137534,1.231078873,1.014186479,0.553412114,0.467255557,0.303215196
Uruguay,30.6,4.166305089,1.135557939,1.315311574,0.782929365,0.574978451,0.188516375,0.169011386
Taiwan,30.75,4.111525,1.3553175,1.2171025,0.8604875,0.3725425,0.0806475,0.2254275
Argentina,31.2,3.841189969,1.111035093,1.330960229,0.760895417,0.481619841,0.064307978,0.092371412
Qatar,32,4.933384953,1.743691137,1.169707376,0.768731618,0.604064197,0.355973851,0.291216774
Taiwan Province of China,33,4.295832418,1.433626533,1.384565353,0.793984234,0.361466587,0.063829236,0.258360475
Saudi Arabia,33.4,4.059559665,1.439512711,1.18137952,0.666213666,0.417454114,0.231550451,0.123449203
Guatemala,33.6,3.435825884,0.806614389,1.141467039,0.615775998,0.550286124,0.081590656,0.240091679
Spain,34.6,4.297993653,1.298807573,1.39946618,0.95010812,0.410948246,0.069852819,0.168810714
Colombia,36,3.641726763,0.992910465,1.302610587,0.671677585,0.492099483,0.044971748,0.137456895
Trinidad & Tobago,38.5,4.0775,1.227,1.4845,0.6385,0.532,0.0175,0.178
Thailand,39.4,4.163025367,1.050013754,1.312320491,0.713977806,0.565274146,0.029762547,0.491676622
Suriname,40,3.339555,1.0461,0.87533,0.558765,0.559455,0.131625,0.16828
Trinidad and Tobago,40.66666667,3.889039911,1.2996353,1.18315284,0.553631097,0.520666914,0.010924939,0.321028821
Slovakia,41.4,3.865051702,1.246006712,1.379745848,0.772484582,0.307047493,0.02319817,0.136568896
El Salvador,41.6,3.187363923,0.829604899,1.097989018,0.659477711,0.419928506,0.093974192,0.086389597
Bahrain,42.4,4.292184667,1.390482452,1.243464092,0.725250607,0.519083384,0.210752434,0.203151697
Kuwait,43,4.29547877,1.55566249,1.18464375,0.695143142,0.505997519,0.18218791,0.17184396
Uzbekistan,45,4.00051668,0.723758218,1.43409983,0.591724526,0.655987733,0.267423645,0.327522729
Italy,46.2,4.01973654,1.311831324,1.334672656,0.92872487,0.243816143,0.028119618,0.17257193
Nicaragua,46.8,3.479094984,0.677277841,1.193653142,0.716673192,0.486024369,0.148355596,0.257110843
Ecuador,48.2,3.580932149,0.92778008,1.157387763,0.753303244,0.47952764,0.141680929,0.121252493
Poland,49,4.007138213,1.209037573,1.331608394,0.76681707,0.506492422,0.054085561,0.139097193
Belize,50.33333333,3.148650322,0.863711772,0.9563226,0.459960589,0.550939791,0.097763691,0.21995188
Lithuania,52,3.607240096,1.23320247,1.367415221,0.708193988,0.255588357,0.017675129,0.025164931
Japan,52.4,4.397735586,1.337745036,1.326999566,0.979099174,0.493477109,0.164842147,0.095572554
Malaysia,53,3.8882681,1.209899084,1.132825207,0.692676886,0.437362996,0.068884142,0.346619786
South Korea,54,3.809589132,1.314553689,1.046190888,0.948608815,0.248936333,0.065202534,0.186096873
Slovenia,55,4.314657377,1.260531191,1.362299764,0.852941646,0.581953162,0.045469796,0.211461819
Kazakhstan,57.6,3.828391686,1.190505254,1.297243803,0.63671631,0.444628857,0.106428577,0.152868885
Bolivia,58.2,3.207595449,0.767261313,1.09516381,0.53930605,0.551896585,0.068787545,0.185180145
Russia,59.2,3.598031927,1.197139619,1.337812478,0.626303867,0.360078622,0.030974576,0.045722764
Moldova,60.2,2.897564173,0.671424126,1.145485114,0.61796304,0.25958581,0.009054257,0.194051825
Northern Cyprus,61,4.252,1.246,1.2315,0.9755,0.456,0.158,0.185
Cyprus,62.2,3.890759973,1.274927615,1.029102655,0.91361494,0.377180308,0.046195595,0.24973886
Mauritius,62.6,3.845101326,1.110145109,1.148144198,0.698279492,0.519071465,0.055884311,0.31357675
Romania,62.8,3.472855015,1.141766782,1.043000258,0.736215662,0.432960748,0.00473358,0.114177984
Peru,63,3.38307469,0.965087054,1.105782077,0.703655223,0.444996576,0.044171817,0.119381943
North Cyprus,63,4.064591535,1.28879377,1.024881126,0.866542413,0.465811208,0.154644451,0.263918568
Latvia,63.4,3.668803193,1.185349725,1.273916988,0.697091394,0.305875582,0.071212545,0.135356957
Paraguay,64,3.701653451,0.855223463,1.384032976,0.643036139,0.505969558,0.080289183,0.233102132
Jamaica,65.2,3.542366623,0.855857862,1.290791613,0.689424477,0.495939448,0.036039556,0.174313667
Estonia,65.8,4.094309984,1.237851868,1.36324222,0.752151663,0.478224286,0.171055784,0.091784162
Algeria,66.2,3.145981029,1.012962893,1.074205493,0.665056929,0.178437162,0.146099222,0.069219329
Kosovo,67.2,3.143936188,0.878282876,1.014490701,0.60975441,0.317747588,0.039870324,0.28379029
Libya,68,3.588868704,1.065826613,1.215988866,0.594601804,0.440226646,0.121246042,0.150978733
Belarus,68.2,3.707037727,1.085019512,1.338153043,0.698766853,0.301538052,0.163556764,0.120003502
Turkmenistan,69.8,3.748455852,1.047483353,1.365799832,0.518129216,0.415890386,0.183476068,0.217676998
"Hong Kong S.A.R., China",71,4.916896373,1.551674843,1.262790918,0.943062425,0.490968645,0.293933749,0.374465793
Venezuela,71.8,3.40181218,1.05246824,1.323263519,0.683740845,0.213709425,0.071444225,0.057185926
Croatia,74,3.346071228,1.152317247,0.959862601,0.769115704,0.285934459,0.033684622,0.145156595
Hong Kong,74.75,4.7398775,1.434935,1.1238475,1.0295125,0.5102175,0.3164275,0.3249375
